"country","province","date","cases","deaths","recovered"
"5403","Australia","queensland",2020-03-22,259,0,8
"5416","Australia","south australia",2020-03-22,100,0,3
"5418","Australia","tasmania",2020-03-22,22,0,3
"5423","Australia","victoria",2020-03-22,355,0,70
"5425","Australia","western australia",2020-03-22,120,1,0
"5434","Australia","australian capital territory",2020-03-23,32,0,0
"5481","Australia","new south wales",2020-03-23,669,6,4
"5484","Australia","northern territory",2020-03-23,5,0,0
"5492","Australia","queensland",2020-03-23,319,0,8
"5505","Australia","south australia",2020-03-23,134,0,3
"5507","Australia","tasmania",2020-03-23,28,0,3
"5512","Australia","victoria",2020-03-23,355,0,70
"5514","Australia","western australia",2020-03-23,140,1,0
"5523","Australia","australian capital territory",2020-03-24,39,0,0
"5570","Australia","new south wales",2020-03-24,818,7,4
"5573","Australia","northern territory",2020-03-24,6,0,0
"5581","Australia","queensland",2020-03-24,397,0,8
"5594","Australia","south australia",2020-03-24,170,0,3
"5596","Australia","tasmania",2020-03-24,28,0,3
"5601","Australia","victoria",2020-03-24,411,0,97
"5603","Australia","western australia",2020-03-24,175,1,0
"5612","Australia","australian capital territory",2020-03-25,39,0,0
"5659","Australia","new south wales",2020-03-25,1029,7,4
"5662","Australia","northern territory",2020-03-25,6,0,0
"5670","Australia","queensland",2020-03-25,443,0,8
"5683","Australia","south australia",2020-03-25,170,0,6
"5685","Australia","tasmania",2020-03-25,36,0,3
"5690","Australia","victoria",2020-03-25,466,0,97
"5692","Australia","western australia",2020-03-25,175,1,1
"5701","Australia","australian capital territory",2020-03-26,53,0,1
"5748","Australia","new south wales",2020-03-26,1219,7,4
"5751","Australia","northern territory",2020-03-26,12,0,0
"5759","Australia","queensland",2020-03-26,493,1,8
"5772","Australia","south australia",2020-03-26,235,0,6
"5774","Australia","tasmania",2020-03-26,47,0,3
"5779","Australia","victoria",2020-03-26,520,3,149
"5781","Australia","western australia",2020-03-26,231,2,1
"5790","Australia","australian capital territory",2020-03-27,62,0,1
"5837","Australia","new south wales",2020-03-27,1405,7,4
"5840","Australia","northern territory",2020-03-27,12,0,0
"5848","Australia","queensland",2020-03-27,555,1,8
"5861","Australia","south australia",2020-03-27,257,0,6
"5863","Australia","tasmania",2020-03-27,47,0,3
"5868","Australia","victoria",2020-03-27,574,3,171
"5870","Australia","western australia",2020-03-27,231,2,1
"5879","Australia","australian capital territory",2020-03-28,71,0,2
"5926","Australia","new south wales",2020-03-28,1617,8,4
"5929","Australia","northern territory",2020-03-28,15,0,0
"5937","Australia","queensland",2020-03-28,625,1,8
"5950","Australia","south australia",2020-03-28,287,0,6
"5952","Australia","tasmania",2020-03-28,62,0,5
"5957","Australia","victoria",2020-03-28,685,3,191
"5959","Australia","western australia",2020-03-28,278,2,28
"5968","Australia","australian capital territory",2020-03-29,77,0,2
"6015","Australia","new south wales",2020-03-29,1791,8,4
"6018","Australia","northern territory",2020-03-29,15,0,0
"6026","Australia","queensland",2020-03-29,656,2,8
"6039","Australia","south australia",2020-03-29,299,0,6
"6041","Australia","tasmania",2020-03-29,66,0,5
"6046","Australia","victoria",2020-03-29,769,4,191
